x,y,labels
274.4,13.122,1
274.4,-2.1291,1
275.1,-32.137,1
276.5,-9.977,1
277.2,1.4822,1
279.3,71.985,1
279.3,41.907,1
280.7,16.769,1
280.7,-7.5604,1
280.7,11.106,1
281.4,18.099,1
281.4,7.0414,1
282.1,62.852,1
282.1,59.147,1
282.1,-11.97,1
283.5,59.83,1
284.2,14.704,1
284.2,-40.265,1
284.9,61.702,1
285.6,69.546,1
285.6,-13.835,1
286.3,55.977,1
287.0,67.204,1
287.0,55.228,1
287.7,-6.5669,1
287.7,-34.386,1
289.8,-20.796,1
289.8,-15.813,1
291.2,13.797,1
292.6,-11.827,1
294.0,55.628,1
295.4,16.483,1
296.1,55.614,1
297.5,10.76,1
298.2,-17.858,1
299.6,4.9636,1
299.6,11.642,1
299.6,-19.052,1
300.3,17.253,1
300.3,-10.99,1
300.3,-23.615,1
301.0,-24.705,1
301.7,1.8663,1
302.4,-24.737,1
304.5,62.846,1
304.5,46.669,1
304.5,20.734,1
305.9,8.6674,1
305.9,-31.875,1
306.6,43.729,1
306.6,17.933,1
307.3,16.215,1
307.3,-36.575,1
308.0,14.43,1
308.7,40.442,1
309.4,14.907,1
310.1,11.779,1
310.8,-14.205,1
312.9,39.42,1
313.6,-7.5536,1
315.0,-13.498,1
315.0,-12.314,1
317.1,-38.805,1
318.5,69.996,1
318.5,-19.3,1
319.9,61.223,1
320.6,59.149,1
322.0,53.031,1
322.7,-35.199,1
323.4,17.329,1
324.1,52.982,1
324.8,4.5402,1
325.5,42.895,1
326.9,65.85,1
326.9,-33.216,1
326.9,-24.093,1
327.6,62.221,1
327.6,20.031,1
328.3,-9.7105,1
329.0,14.612,1
330.4,71.717,1
330.4,22.881,1
330.4,-3.1604,1
331.8,63.34,1
333.2,23.055,1
334.6,20.704,1
334.6,2.9046,1
335.3,23.357,1
335.3,-27.557,1
335.3,-18.965,1
337.4,-6.3618,1
338.1,44.881,1
340.9,16.079,1
342.3,-17.544,1
343.7,22.868,1
344.4,44.136,1
345.8,50.389,1
345.8,57.081,1
345.8,-26.272,1
347.2,13.395,1
348.6,54.209,1
349.3,42.248,1
350.7,52.493,1
350.7,-6.4077,1
351.4,43.012,1
352.1,56.514,1
352.1,48.06,1
352.1,50.768,1
352.1,-33.023,1
352.8,28.631,1
352.8,34.189,1
352.8,-21.665,1
354.2,40.354,1
354.2,49.568,1
354.2,27.528,1
354.9,29.446,1
354.9,4.8711,1
355.6,64.304,1
355.6,71.759,1
355.6,-36.328,1
356.3,43.975,1
356.3,16.361,1
357.0,72.274,1
357.7,56.919,1
359.1,16.359,1
359.8,7.1531,1
359.8,-19.204,1
359.8,-39.063,1
361.2,61.727,1
364.0,16.331,1
364.0,36.417,1
364.7,29.57,1
364.7,-1.772,1
365.4,32.904,1
366.8,31.668,1
368.2,14.729,1
368.2,-7.3134,1
368.2,-13.231,1
368.9,-44.145,1
368.9,-43.188,1
370.3,70.912,1
371.0,36.232,1
372.4,13.392,1
372.4,-14.256,1
373.1,73.209,1
373.1,59.027,1
373.8,16.328,1
374.5,15.177,1
375.2,16.2,1
375.9,-10.049,1
377.3,25.418,1
378.0,-15.461,1
378.7,11.21,1
380.1,66.813,1
380.1,27.469,1
382.2,45.257,1
384.3,-43.805,1
385.0,52.402,1
385.7,11.651,1
385.7,-18.318,1
386.4,17.295,1
387.1,58.218,1
387.1,-23.303,1
388.5,36.4,1
388.5,-28.715,1
389.9,73.545,1
389.9,-2.6503,1
389.9,14.447,1
389.9,-26.379,1
390.6,-22.973,1
392.0,25.948,1
393.4,41.719,1
393.4,-22.422,1
394.8,66.259,1
396.2,75.445,1
396.2,-21.282,1
396.9,18.699,1
397.6,-10.424,1
398.3,41.911,1
398.3,31.482,1
399.0,55.743,1
399.7,16.01,1
402.5,57.53,1
402.5,1.9207,1
403.9,8.3378,1
406.7,-39.332,1
408.1,-1.7265,1
408.1,-33.103,1
408.8,26.81,1
408.8,32.971,1
408.8,-6.6417,1
410.2,36.969,1
410.2,-5.2294,1
410.2,-7.7382,1
411.6,-41.834,1
412.3,49.324,1
413.0,12.997,1
413.7,-29.128,1
414.4,-20.449,1
416.5,10.381,1
417.2,-30.653,1
418.6,55.202,1
418.6,11.255,1
419.3,11.116,1
419.3,-31.936,1
420.0,32.757,1
422.1,29.782,1
422.8,-16.558,1
423.5,-37.866,1
424.2,4.0059,1
424.2,-13.556,1
424.9,41.593,1
424.9,-26.566,1
424.9,-19.714,1
425.6,38.469,1
425.6,27.974,1
425.6,-14.01,1
426.3,19.2,1
426.3,21.037,1
427.0,17.136,1
427.0,-23.865,1
427.7,15.812,1
429.1,12.696,1
429.1,5.6431,1
430.5,50.338,1
431.2,68.295,1
431.2,16.663,1
431.2,26.677,1
431.9,-13.655,1
432.6,60.046,1
434.0,37.965,1
434.0,-35.755,1
435.4,37.948,1
436.1,26.005,1
436.1,12.081,1
436.1,-23.941,1
436.1,-36.948,1
438.2,60.813,1
438.9,3.4072,1
438.9,10.661,1
440.3,30.104,1
440.3,4.3645,1
441.0,11.556,1
443.1,37.266,1
443.8,29.715,1
444.5,18.484,1
444.5,4.7666,1
444.5,13.887,1
445.9,51.221,1
446.6,21.157,1
447.3,18.69,1
447.3,4.0477,1
448.0,66.033,1
448.0,51.539,1
450.8,-16.519,1
451.5,37.431,1
452.2,51.919,1
452.2,0.54046,1
452.9,-4.6515,1
452.9,-14.955,1
454.3,73.208,1
454.3,7.9898,1
455.0,43.8,1
455.7,57.279,1
455.7,-1.9176,1
456.4,9.5293,1
457.1,67.346,1
457.1,55.123,1
457.1,-29.389,1
457.8,-8.5224,1
458.5,28.539,1
459.2,75.461,1
462.0,-29.396,1
462.7,25.794,1
462.7,12.633,1
462.7,8.7733,1
462.7,-31.224,1
463.4,24.115,1
464.1,19.88,1
464.8,65.561,1
465.5,23.356,1
466.2,-12.904,1
467.6,21.915,1
467.6,12.595,1
468.3,-1.069,1
468.3,14.917,1
469.0,7.8255,1
469.7,6.1872,1
469.7,14.667,1
473.2,-15.019,1
473.9,-11.474,1
474.6,65.086,1
474.6,36.593,1
474.6,-18.081,1
474.6,-36.268,1
476.0,2.5208,1
476.7,-34.581,1
479.5,8.9179,1
480.2,13.576,1
480.9,-31.345,1
480.9,-36.63,1
483.0,10.022,1
485.1,72.792,1
485.1,56.874,1
485.8,-11.575,1
485.8,-38.181,1
486.5,68.1,1
486.5,-40.168,1
487.2,55.626,1
487.2,20.887,1
487.9,13.556,1
488.6,38.351,1
489.3,14.773,1
491.4,56.457,1
492.8,42.694,1
493.5,41.339,1
493.5,-28.172,1
494.2,14.761,1
494.9,30.814,1
496.3,65.425,1
497.7,71.751,1
499.8,37.315,1
499.8,8.6425,1
500.5,16.13,1
