Lon,Lat
-158.132585665815,21.3159039686579
-158.132590261734,21.3159973871202
-158.132600937632,21.3160709314382
-158.132598258942,21.3161062750596
-158.132505336667,21.3159269464001
-158.132629958874,21.3162318293976
-158.132649149368,21.3162984964904
-158.13260972562,21.316226868147
-158.132486581075,21.3159593295775
-158.132634467019,21.3163100382532
-158.132653528351,21.3163688596524
-158.13252656943,21.3160963403575
-158.132673804412,21.316441769049
-158.132591172872,21.3162747468352
-158.1326270852,21.3163684628426
-158.132666807254,21.3164709184149
-158.132504580265,21.3161174749525
-158.132662468393,21.3164910906412
-158.132530880165,21.3162041928296
-158.132612143952,21.3164019666862
-158.132576444355,21.3163313412999
-158.132558724764,21.3163019734049
-158.132620072474,21.3164540368613
-158.132517585429,21.3162339223655
-158.132591953702,21.3164196198198
-158.132461117276,21.316134458061
-158.132702546555,21.3166959513833
-158.132466146192,21.3161648090845
-158.132628640648,21.3165489368661
-158.132608636249,21.3165143179871
-158.132610940347,21.3165271241922
-158.132557317454,21.3164153684617
-158.132617602848,21.3165649646444
-158.132620838193,21.3165836625303
-158.132487997207,21.3162901508424
-158.132494193039,21.3163156410357
-158.132617325169,21.3166131754596
-158.132576233269,21.3165376797654
-158.13267430942,21.3167777122544
-158.132745076833,21.3169475771347
-158.132650754328,21.3167537033758
-158.132721586596,21.3169312135537
-158.132539851419,21.3165330517133
-158.132615165021,21.3167133336035
-158.132808192146,21.3171674057794
-158.132534128717,21.3165536910918
-158.132760012374,21.3170793767764
-158.13267588903,21.316897644811
-158.132680191156,21.316922510195
-158.132759197201,21.3171149919917
-158.132758199121,21.3171240780537
-158.132725772219,21.3170646448383
-158.132800966651,21.3172483439091
-158.132697805039,21.3170229169737
-158.132801871073,21.3172728373812
-158.132705297307,21.3170662604734
-158.132559896121,21.3167402137059
-158.132782122214,21.317257423722
-158.132748951353,21.317196279587
-158.132804966422,21.3173322328178
-158.132572139138,21.3168131377003
-158.13263415909,21.3169703352973
-158.132728053878,21.3171969014696
-158.132570328402,21.3168463435613
-158.132866803299,21.3175338097095
-158.13271221726,21.3171941910196
-158.132786588415,21.3173722344106
-158.132808134931,21.3174365881445
-158.13277435071,21.3173665717398
-158.132765553574,21.3173538639909
-158.132853217268,21.3175698541443
-158.132757155059,21.317364478188
-158.132760268608,21.3173828227079
-158.132707013597,21.3172718929382
-158.132731109329,21.3173383580042
-158.132872626934,21.3176741114447
-158.132722505741,21.317341040545
-158.132648541102,21.3171826257893
-158.132779364722,21.3174938497954
-158.132840487578,21.3176452277174
-158.132695066429,21.3173266900334
-158.132770796949,21.3175115672679
-158.132740131436,21.3174561964279
-158.132915328282,21.3178691600759
-158.132644344623,21.3172664534332
-158.132846887049,21.3177383802483
-158.132808567515,21.3176617278657
-158.132696480478,21.3174159267593
-158.132713675677,21.3174665782274
-158.132871889994,21.3178405862794
-158.132771728844,21.3176221422673
-158.132691003775,21.3174520127212
-158.13272461974,21.3175365780485
-158.132733528538,21.3175682361138
-158.132827454397,21.3177948286205
-158.132797453105,21.3177372720108
-158.132840784474,21.3178478564947
-158.132936078682,21.3180813279851
-158.132719622571,21.3176000260403
-158.132775507601,21.3177431476095
-158.132824811023,21.3178674317343
-158.132859910322,21.3179591494548
-158.132819413265,21.3178813003894
-158.132886859495,21.3180509315682
-158.132971480621,21.3182561867067
-158.133000025988,21.3183328806026
-158.132989352134,21.3183196642238
-158.132881238676,21.3180830675826
-158.132886182065,21.3181019077095
-158.132860787843,21.3180549538904
-158.132752302222,21.3178175180832
-158.132892104841,21.3181455243236
-158.132942799948,21.3182692521141
-158.132924537998,21.3182386568327
-158.132909351628,21.318214926506
-158.132840106981,21.318067502032
-158.133050504671,21.3185611219092
-158.132935226922,21.3183081791995
-158.132954635711,21.3183602130079
-158.132774899027,21.3179632938167
-158.133009790781,21.3185130524081
-158.132923179354,21.3183258382754
-158.13292643061,21.3183446153564
-158.132803813927,21.3180786545419
-158.132892190059,21.3182925581417
-158.132961392864,21.3184625105492
-158.132951717269,21.3184516623652
-158.132835532622,21.3181966857268
-158.13306336616,21.3187302324652
-158.132901534966,21.3183744135678
-158.13285486905,21.3182787891753
